DataUsed_UL,DataUsed_DL,Speed_UL,Speed_DL,LegacyDevicesExist,StationaryVsMobile,WifiScores_top3Devices,PhyRate,SignalStrength,NumClientsConnected,NumAccessPoints,MeanClientsPerAP,ChannelSwitches,WifiAssociations,SON_status,SON_SteerSuccessStatus,NumDevicePowerCycles,KeyProcessCrashes,Latency,HomeWifiScore,HighSteeringCount,HomesWithWifiCongestion,PercentageOfDataOn5G,ClientBandwidthUsed,AirtimeCongestion,ChannelOfOperation,SON_PerClientSteer,ActivePhyRate,SuddenDropOfConnection,RebootPerformedViaCustomer,StationName,NumNeighborsOnSameChannel,NumOverallNeighbors,NumNeighborsOnAdjChannel,NumIPChanges,ExtendedBackhaulRange,EthernetAndNot1Gig
224.1172963994654,244.3461844519913,24.886200900432904,170.37286879581936,Yes,Stationary,19.42879924638031,407.36200054777987,-61.57995244096758,7,5,1.4,2,1,on,0,2,2,47.54967803232883,75.12747886393964,5,1,63.73447838962123,45.85023291607189,64.87356790528784,140,3,181.19552562492652,No,No,2,3,7,0,1,Yes,Yes
121.53483373759487,190.14271378912656,32.90483343366261,151.49664831401662,Yes,Stationary,22.576669768067728,505.23335809657414,-68.115528431912,8,5,1.6,1,1,off,1,1,0,38.05972613484253,76.46547320140638,2,3,63.32025443677373,39.20236443218847,67.10827917880317,67,5,447.5874757948604,No,No,3,6,10,3,0,Yes,No
106.71286339105077,303.25217598784553,10.29319898129217,59.872657642212715,No,Mobile,22.830999004342754,598.1595797141359,-55.18827541471186,10,3,3.3,1,1,on,0,3,0,49.87681869190836,81.48524519259654,2,4,35.63264361647357,84.67761531637854,32.88653559148318,146,2,198.03212693665503,No,No,9,6,14,3,3,Yes,No
187.8286922707228,342.2735657848375,69.95696151625,119.27068521819587,No,Stationary,23.863197123623884,538.2854271987651,-68.70139309065024,4,2,2.0,2,1,off,1,1,0,13.347753295965065,83.81724550701895,2,0,34.15532947268588,49.65155840852287,34.27332248441235,159,2,24.606388904623692,No,No,3,9,12,5,2,No,Yes
229.86724244639078,326.2874677607716,27.209817701376874,51.917137009532574,Yes,Stationary,26.248301921521072,688.8469320311455,-56.527904959459555,5,3,1.7,3,1,on,1,0,0,24.832181141985878,69.97747735632055,3,4,76.37073619755719,65.06650273312643,61.79253829981435,159,1,217.74765519213923,Yes,Yes,5,10,13,3,1,No,No
155.77661503111523,258.82982251654977,60.79181763255477,179.67722505932122,No,Stationary,21.2981563933185,426.73942827617526,-78.48955027803441,5,2,2.5,2,1,on,0,0,0,11.833337785215331,89.78401304424848,2,2,48.093652987946534,40.88698230687896,76.21260482860835,93,5,15.167344426642074,No,No,2,4,8,3,0,No,No
295.1910495961539,311.42214896163557,7.1704560199821294,33.339025194902824,Yes,Mobile,15.356487790134166,407.34538935824355,-48.78805780663998,5,2,2.5,1,1,on,1,3,0,3.446964855258951,53.96701062294004,4,1,70.60931264444525,27.975451315760942,73.20794257338483,46,3,343.1258478131147,Yes,No,5,3,9,7,1,No,No
221.20743464621583,172.36066023240716,69.06754403995255,158.8268804979465,No,Mobile,24.06815362702994,515.1275063983135,-54.017548928094904,7,4,1.8,3,1,on,1,1,1,49.14115304119332,59.9800483108042,1,4,36.78822890527101,92.34636935594008,60.677290290493346,141,1,479.921981576873,Yes,No,7,5,9,3,3,Yes,No
170.23297537109022,343.5715422624558,78.38272015361329,138.9445867721985,Yes,Stationary,15.961246422832435,291.9703032147276,-59.48554991533473,5,2,2.5,1,1,on,1,0,2,46.73803147242946,97.85424050200828,2,5,61.50929273756403,91.35034586979515,47.40873201953654,150,1,189.64727705073108,No,No,0,4,7,6,0,No,No
148.02937954853763,497.3082076657906,96.16536695623525,37.24874037045158,Yes,Mobile,15.600149548446208,344.6123524693409,-62.00341062940051,6,5,1.2,3,1,on,1,1,1,34.06720887533631,69.65889712734213,2,5,79.70347388474914,83.69785945888026,70.6897669927272,157,2,457.7170536048398,No,No,4,7,10,6,0,No,Yes
135.79450403771733,251.82933755456767,47.66938402216455,115.20559568595692,No,Stationary,12.992659426043362,248.19175169453428,-57.63281098869541,10,4,2.5,1,1,on,1,3,0,46.979779186408386,76.91761546327396,2,1,27.309689072877774,40.796566496325426,10.709774094535206,95,3,285.4047753770181,No,Yes,5,7,14,4,2,Yes,Yes
232.2624268460104,281.2634494500761,84.71436460694643,43.29768516244619,No,Stationary,15.893724646423763,357.03207822797015,-60.41660349750969,9,1,9.0,1,1,on,1,1,1,45.29178352783029,71.63688622541876,4,1,26.743560957196024,65.43716572744563,53.27356053716481,128,3,374.2000532908167,No,No,7,4,7,1,1,Yes,No
159.6430611699061,269.04624695938065,81.56283004329448,56.36051098312876,Yes,Stationary,17.5250938605177,396.09981356700075,-58.065446385396946,9,1,9.0,2,1,off,0,1,0,30.35619942265607,59.103718137857896,4,3,44.22907083862629,75.34966919994153,41.29878398963557,86,5,306.81272948594403,No,No,7,4,7,4,1,Yes,No
